ID,GRUPO_INSTITUCION,NOMBRE,MUNICIPIO,LOCALIDAD,LATITUD,LONGITUD,CONECTIVIDAD,DISTANCIA_TORRE_ESTATAL_CERCANA,TORRE_CERCANA_COORD,PROVEEDOR_PUBLICO,IPC,,,,
3498,SEGURIDAD,C5I GUAYMAS,GUAYMAS,HEROICA GUAYMAS,27.946172,-110.919099,CONECTADA,1.46,"27.941844, -110.905094",0,NIVEL 2 (MEDIO),,,,
3499,SEGURIDAD,C5I SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO,SAN LUIS RIO COLORADO,32.456568,-114.746231,CONECTADA,0.01,"32.456613, -114.746291",0,NIVEL 2 (MEDIO),,,,
3500,SEGURIDAD,C5I PUERTO PEÑASCO,PUERTO PEÑASCO,PUERTO PEÑASCO,31.334021,-113.529957,CONECTADA,0.01,"31.33396389, -113.52995",0,NIVEL 2 (MEDIO),,,,
3501,SEGURIDAD,C5I CANANEA,CANANEA,HEROICA CIUDAD DE CANANEA,30.985731,-110.277367,CONECTADA,1.16,"30.98961, -110.26602",0,NIVEL 2 (MEDIO),,,,
3502,SEGURIDAD,C5I AGUA PRIETA,AGUA PRIETA,AGUA PRIETA,31.319165,-109.557953,CONECTADA,0.01,"31.31913889, -109.5580556",0,NIVEL 2 (MEDIO),,,,
3503,SEGURIDAD,C5I OBREGON,CAJEME,OBREGON,27.52596,-109.930065,CONECTADA,0.02,"27.52598056, -109.9302889",0,NIVEL 2 (MEDIO),,,,
3504,SEGURIDAD,C5I NAVOJOA,NAVOJOA,NAVOJOA,27.078889,-109.443481,CONECTADA,0.01,"27.07895278, -109.443525",0,NIVEL 2 (MEDIO),,,,
3505,SEGURIDAD,C5I NOGALES,NOGALES,NOGALES,31.290164,-110.951151,CONECTADA,0.01,"31.29011, -110.951213",0,NIVEL 2 (MEDIO),,,,
3506,SEGURIDAD,AGENCIA MINISTERIAL DE INVESTIGACION CRIMINAL - NACORI CHICO,NACORI CHICO,NACORI CHICO,29.686992,-108.978963,CONECTADA,0.12,"29.68636, -108.97802",1,NIVEL 1 (BAJO),,,,
3507,SEGURIDAD,AGENCIA MINISTERIAL DE INVESTIGACION CRIMINAL - TECORIPA,LA COLORADA,TECORIPA,28.623606,-109.951543,CONECTADA,0.3,"28.62378, -109.9546",1,NIVEL 1 (BAJO),,,,
3508,SEGURIDAD,AGENCIA MINISTERIAL DE INVESTIGACION CRIMINAL - ARIZPE,ARIZPE,ARIZPE,30.3321105,-110.173533,CONECTADA,0.89,"30.338364, -110.167683",1,NIVEL 1 (BAJO),,,,
3515,SEGURIDAD,AGENCIA MINISTERIAL DE INVESTIGACION CRIMINAL - YECORA,YECORA,YECORA,28.376095,-108.921182,CONECTADA,0.59,"28.37264, -108.925702",1,NIVEL 1 (BAJO),,,,
3516,SEGURIDAD,GUARDIA NACIONAL - SAHUARIPA,SAHUARIPA,SAHUARIPA,29.030513,-109.258673,CONECTADA,1.35,"29.023243, -109.269806",1,NIVEL 1 (BAJO),,,,
3517,SEGURIDAD,COMANDANCIA MUNICIPAL - ROSARIO,ROSARIO,ROSARIO,27.842266,-109.374085,CONECTADA,0.38,"27.840604, -109.370759",1,NIVEL 1 (BAJO),,,,
3518,SEGURIDAD,COMANDANCIA MUNICIPAL - QUIRIEGO,QUIRIEGO,QUIRIEGO,27.520231,-109.254609,CONECTADA,0.33,"27.52069, -109.251259",1,NIVEL 1 (BAJO),,,,
