GRUPO,ID,NOMBRE,DIST_KM_TORRE_ESTATAL_MAS_CERCANA,LATITUD,LONGITUD,CLUSTER,DISTANCIA_PROMEDIO_CLUSTER,DISTANCIA_MAXIMA_CLUSTER,DISTANCIA_MAXIMA_REAL,CANTIDAD_INSTITUCIONES,TORRE_ESTATAL_CERCANA,DEPENDENCIA_TORRE_ESTATAL,LATITUD_TORRE_ESTATAL,LONGITUD_TORRE_ESTATAL,LINEA_VISTA,CONEXION_BACKHAUL
ESCUELAS,26ETV0186Y,JOSE ANGEL HURTADO ACUÑA,10.75579752,29.174393,-110.881263,20,5.462510923,9.625986611,9.625986611,24,MOLINO-DE-CAMOU,CFE,29.196339,-110.7865361,TRUE,DIRECTA
ESCUELAS,26DJN0278Z,REVOLUCION,10.53554225,27.162306,-109.583311,21,3.405044641,5.822905029,5.822905029,6,PRIM GAVINO BARRERA DE GUAYTANA,TELEFONIA RURAL,27.093839,-109.656901,TRUE,DIRECTA
ESCUELAS,26DCC0029D,U-ME-WAAYIM,15.49062978,27.194722,-109.195833,22,3.757811084,7.086448271,7.086448271,6,EL MOCUZARI (CONICARIT),CFE,27.215093,-109.094535,FALSE,SUGERIR REPETIDOR
SALUD,SRIMB000820,CENTRO DE SALUD RURAL ESQUEDA,19.09290478,30.72371779,-109.587577,23,1.192339893,4.45311022,4.45311022,7,FRONTERAS,TELEMAX,30.894625,-109.568311,TRUE,DIRECTA
ESCUELAS,26DPR0174V,GENERAL ANTONIO ARMENTA,15.43677481,27.396111,-109.182222,24,1.280489309,4.917888871,4.917888871,5,TEPAHUI,CFE,27.396111,-109.181111,TRUE,DIRECTA
ESCUELAS,26EPR0129H,PRESIDENTE DE LA PAZ,31.14238417,28.568666,-111.55446,25,0.127748477,0.334886215,0.334886215,5,SUBESTACION-NUMERO-CINCO,CFE,28.75333,-111.632058,TRUE,DIRECTA
ESCUELAS,26DJN0694N,MARIA DE LA LUZ RESENDEZ TORRES,46.98234583,28.322222,-111.452778,26,0.435753198,1.208380732,1.208380732,6,EL-CHOYUDO-LOS-JAPONESES,CFE,28.317394,-111.4527777,TRUE,DIRECTA
ESCUELAS,26DPR1257K,FILOMENO MATA,13.25397217,27.187916,-109.354109,27,2.110453312,4.988446289,4.988446289,15,CUARENTENARIA BAHUISES,TELEFONIA RURAL,27.127718,-109.469734,TRUE,DIRECTA
ESCUELAS,26DST0058Q,FUNDACION ESPOSOS RODRIGUEZ,99.67929898,29.909296,-112.685836,28,0.446138703,1.120576269,1.120576269,5,DESEMBOQUE-DE-LOS-SERIS,CFE,29.50634,-112.39627,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DPB0147X,CARMEN SERDAN,11.33364638,26.743611,-109.613333,29,4.778886999,9.860574002,9.860574002,20,ITHUA,CFE,26.82091667,-109.6185556,TRUE,DIRECTA
ESCUELAS,26DCC0098Z,TU-RI-TAA,10.77534237,26.845,-109.75,30,3.255896361,5.779519201,5.779519201,15,HOSPITAL GENERAL,SEC,26.842562,-109.641426,TRUE,DIRECTA
GOBIERNO,72,SERVICIOS DE SALUD DE SONORA,18.85969188,28.80279797,-110.5804702,31,0.184577706,0.41838227,0.41838227,5,ESC PRIM EL PIPILA DE EST. TORRES,TELEFONIA RURAL,28.766305,-110.769459,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DJN0716I,JARDIN DE NIÑOS NUEVA CREACION,12.86130714,31.1725,-110.964722,32,0.877977628,2.966856176,2.966856176,6,EL-TORREON,CFE,31.16167,-110.9703,TRUE,DIRECTA
ESCUELAS,26DPR0723I,MIGUEL HIDALGO Y COSTILLA,85.74870105,31.686817,-114.49902,33,0.359040007,1.079867829,1.079867829,5,GOLFO-DE-SANTA-CLARA,CFE,31.68750815,-114.5004143,TRUE,DIRECTA
ESCUELAS,26DCC0182Y,EL LOBITO,16.78114871,27.348349,-110.453244,34,0.544547511,1.264384708,1.264384708,6,PRIM JOSE MA. MORELOS Y PAVON DE TETABIATE,TELEFONIA RURAL,27.446833,-110.324444,TRUE,DIRECTA
ESCUELAS,26DCC0307P,FRANCISCA MERCEDES MADRID DURAZO,15.4681247,29.37756,-110.902019,35,0.349418016,0.577830773,0.577830773,8,RESPLANDOR,CFE,29.27303,-110.94341,TRUE,DIRECTA
SALUD,SRIMB001795,CENTRO DE SALUD RURAL SAN MIGUEL DE HORCASITAS,15.98331007,29.48779602,-110.7270098,36,1.237389707,5.449593222,5.449593222,6,SAN-MIGUEL-HORCASITAS-SONORA,CFE,29.487305,-110.725787,TRUE,DIRECTA
ESCUELAS,26DJN0356N,YOLANDA SILVA GALLEGO,12.97154488,30.451389,-111.203056,37,1.270790531,2.44467141,2.44467141,5,EL-CLARO,CFE,30.45145,-111.20288,TRUE,DIRECTA
ESCUELAS,26DJN0362Y,PASCUAL ORTIZ RUBIO,42.52341115,30.398564,-111.531456,38,0.169806188,0.402680748,0.402680748,7,TRINCHERAS,CFE,30.39929,-111.5291,TRUE,DIRECTA
ESCUELAS,26DPR0232V,PROGRESO,13.89579432,29.127222,-110.313611,39,0.898389666,3.402571516,3.402571516,5,CERRO MAZATAN,TELEFONIA RURAL,29.093878,-110.175761,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DCC0109P,EL CARACOLITO,22.58259382,29.015278,-112.160278,40,0.061028173,0.151263958,0.151263958,5,PUNTA-CHUECA,CFE,29.01624,-112.16025,TRUE,DIRECTA
ESCUELAS,26DCC0108Q,LOS GRILLITOS,80.89488112,29.503889,-112.396667,41,0.080647833,0.181513807,0.181513807,5,DESEMBOQUE-DE-LOS-SERIS,CFE,29.50634,-112.39627,TRUE,DIRECTA
