grupo_institucion,nombre,distancia_torre_estatal_cercana,torre_cercana_coord,proveedor_publico,latitud,longitud,altitud,cluster,dist_centro,score,lat_torre,lon_torre,altitud_torre_cercana,linea_de_vista
seguridad,CENTRO FEDERAL DE READAPTACION SOCIAL,15.54,"28.85721389, -111.3863694",0,28.9716862,-111.2948458,114.0,0,3.5059112496615987,9.438060485573622,28.85721389,-111.3863694,316,True
escuelas,PLAN DE AYALA,33.73,"26.66351, -108.864288",0,26.865278,-108.610556,260.0,1,15.098121833791764,20.264491606889663,26.66351,-108.864288,168,True
escuelas,FRANCISCA MERCEDES MADRID DURAZO,12.3,"29.27303, -110.94341",0,29.37756,-110.902019,332.0,2,0.0780216622860933,12.441903134254796,29.27303,-110.94341,366,True
escuelas,Mesa Colorada,36.45,"27.545293, -109.231119",0,27.571631,-108.8625736,255.0,3,12.35686408987307,21.902368053013934,27.545293,-109.231119,546,True
Salud,CENTRO DE SALUD RURAL BUENAVISTA,26.34,"27.56626, -109.9411",0,27.8006717845527,-109.902894000906,59.0,4,7.932362324083731,15.854419983817667,27.56626,-109.9411,28,True
Gobierno,SERVICIOS DE SALUD DE SONORA,18.86,"28.766305, -110.769459",0,28.8027979679614,-110.580470243585,388.0,5,0.1262160789898448,14.460256631521634,28.766305,-110.769459,257,True
escuelas,JARDIN DE NIÑOS NUEVA CREACION,25.95,"30.894625, -109.568311",0,30.662222,-109.592778,1242.0,6,5.771002112113633,15.639300043941516,30.894625,-109.568311,1151,True
Salud,CENTRO DE SALUD RURAL PLAN DE AYALA,21.73,"28.75333, -111.632058",0,28.5696897659656,-111.555835939943,22.0,7,0.093012331068039,17.292761002687087,28.75333,-111.632058,24,True
escuelas,LAS MILPITAS,13.67,"26.842562, -109.641426",0,26.795833,-109.768889,5.0,8,3.6857547018503016,8.31049650501544,26.842562,-109.641426,5,True
escuelas,EL FARITO,16.35,"26.820916667, -109.61855556",1,26.704197,-109.518378,4.0,9,3.1788457675952277,9.93579226454197,26.820916667,-109.61855556,7,True
escuelas,NUEVA CREACION PRIMARIA NIÑOS MIGRANTES,18.25,"27.396111, -109.181111",0,27.2725,-109.3026,92.0,10,8.01338775816582,10.999910237945803,27.396111,-109.181111,166,True
escuelas,LIBERTAD,52.9,"29.50634, -112.39627",0,29.909575,-112.686882,15.0,11,0.1246789701434389,34.92271226716351,29.50634,-112.39627,4,False
escuelas,NUEVA CREACION PREESCOLAR NIÑOS MIGRANTES,11.1,"31.237444, -110.595678",0,31.145556,-110.641389,1286.0,12,0.0120005270501773,37.42798336376244,31.237444,-110.595678,1365,True
escuelas,EMILIO CARRANZA,15.75,"30.847936, -111.576303",0,30.92,-111.434167,657.0,13,0.9074774837505548,9.890297098337143,30.847936,-111.576303,583,True
escuelas,LAZARO CARDENAS,16.33,"29.093878, -110.175761",0,29.110278,-110.342778,444.0,14,2.7275302950908413,9.944599068634009,29.093878,-110.175761,1539,True
escuelas,EL MANANTIAL,32.47,"28.37264, -108.925702",0,28.405278,-108.595833,1572.0,15,4.23184508609129,19.576499087933637,28.37264,-108.925702,1543,True
escuelas,U-MAASO,13.28,"26.427719, -109.031198",0,26.366389,-109.145556,5.0,16,2.941316114002619,8.10394732329962,26.427719,-109.031198,53,True
escuelas,Mesa del Seri,10.92,"29.196339, -110.7865361",0,29.1083,-110.8364309,241.0,17,2.8066620460728102,6.694467288952919,29.196339,-110.7865361,258,True
escuelas,LOS GIRASOLES,11.83,"30.705106, -112.430622",0,30.771377,-112.527479,155.0,18,5.7813441598600726,7.1671760969152825,30.705106,-112.430622,177,True
escuelas,EMILIANO ZAPATA,17.68,"30.590797, -112.41184",0,30.4825,-112.276667,236.0,19,3.2113018860002365,10.732521297871555,30.590797,-112.41184,193,True
escuelas,IM ILI KARY,20.65,"28.069167, -110.548444",0,27.885833,-110.581667,5.0,20,1.2215977153943682,12.717172212873775,28.069167,-110.548444,63,True
escuelas,SIERVO DE LA NACION,12.06,"27.127718, -109.469734",0,27.203637,-109.55673,64.0,21,2.6061920564166177,7.389421762319178,27.127718,-109.469734,49,True
escuelas,NUEVA CREACION PREESCOLAR NIÑOS MIGRANTES,24.7,"28.97997, -111.70435",0,29.188056,-111.793333,63.0,22,8.015880635072321,14.869894718183788,28.97997,-111.70435,33,True
escuelas,"EMSaD, Bahía de Lobos",16.32,"27.446833, -110.324444",0,27.353289,-110.451778,-1.0,23,0.1817640696331437,11.980613991814185,27.446833,-110.324444,11,False
